,Outcome,PPG,avg FG made,avg FG attempts,Avg 3P made,avg 3P attempts,avg FT made,avg FT attempts,avg Off Reb,Avg Team Reb,Avg Assists,Avg Steals,Avg Blocks,Avg turnovers,Avg Pers Fouls,PPG opp,avg FG made opp,avg FG attempts opp,Avg 3P made opp,avg 3P attempts opp,avg FT made opp,avg FT attempts opp,avg Off Reb opp,Avg Team Reb opp,Avg Assists opp,Avg Steals opp,Avg Blocks opp,Avg turnovers opp,Avg Pers Fouls opp
0,0,62.645161290322584,22.451612903225808,53.83870967741935,5.032258064516129,16.677419354838708,12.709677419354838,19.612903225806452,9.32258064516129,31.774193548387096,12.451612903225806,6.419354838709677,4.806451612903226,13.483870967741936,18.387096774193548,69.8,25.057142857142857,54.94285714285714,6.171428571428572,17.457142857142856,13.514285714285714,19.114285714285714,10.228571428571428,33.4,12.2,7.571428571428571,6.085714285714285,16.057142857142857,18.65714285714286
1,0,62.645161290322584,22.451612903225808,53.83870967741935,5.032258064516129,16.677419354838708,12.709677419354838,19.612903225806452,9.32258064516129,31.774193548387096,12.451612903225806,6.419354838709677,4.806451612903226,13.483870967741936,18.387096774193548,72.63888888888889,24.583333333333332,53.361111111111114,8.527777777777779,22.0,14.944444444444445,21.38888888888889,9.0,31.25,12.722222222222221,5.944444444444445,4.0,12.944444444444445,16.083333333333332
2,0,62.645161290322584,22.451612903225808,53.83870967741935,5.032258064516129,16.677419354838708,12.709677419354838,19.612903225806452,9.32258064516129,31.774193548387096,12.451612903225806,6.419354838709677,4.806451612903226,13.483870967741936,18.387096774193548,77.375,27.4,56.2,5.625,14.875,16.95,23.45,10.875,36.125,13.275,6.05,8.6,11.1,14.75
3,1,62.645161290322584,22.451612903225808,53.83870967741935,5.032258064516129,16.677419354838708,12.709677419354838,19.612903225806452,9.32258064516129,31.774193548387096,12.451612903225806,6.419354838709677,4.806451612903226,13.483870967741936,18.387096774193548,66.91176470588235,24.11764705882353,55.76470588235294,4.382352941176471,13.852941176470589,14.294117647058824,23.705882352941178,11.235294117647058,35.0,11.176470588235293,6.617647058823529,5.235294117647059,14.117647058823529,18.0
4,0,62.645161290322584,22.451612903225808,53.83870967741935,5.032258064516129,16.677419354838708,12.709677419354838,19.612903225806452,9.32258064516129,31.774193548387096,12.451612903225806,6.419354838709677,4.806451612903226,13.483870967741936,18.387096774193548,65.36363636363636,23.96969696969697,59.0,5.242424242424242,16.060606060606062,12.181818181818182,17.636363636363637,11.181818181818182,33.15151515151515,12.575757575757576,7.03030303030303,3.878787878787879,12.848484848484848,17.87878787878788
5,1,62.645161290322584,22.451612903225808,53.83870967741935,5.032258064516129,16.677419354838708,12.709677419354838,19.612903225806452,9.32258064516129,31.774193548387096,12.451612903225806,6.419354838709677,4.806451612903226,13.483870967741936,18.387096774193548,61.38709677419355,22.225806451612904,55.25806451612903,6.580645161290323,20.161290322580644,10.35483870967742,14.774193548387096,10.774193548387096,28.35483870967742,9.96774193548387,6.838709677419355,4.870967741935484,12.64516129032258,18.096774193548388
6,0,62.645161290322584,22.451612903225808,53.83870967741935,5.032258064516129,16.677419354838708,12.709677419354838,19.612903225806452,9.32258064516129,31.774193548387096,12.451612903225806,6.419354838709677,4.806451612903226,13.483870967741936,18.387096774193548,68.76470588235294,23.794117647058822,54.35294117647059,6.735294117647059,19.08823529411765,14.441176470588236,20.558823529411764,10.0,34.088235294117645,12.823529411764707,5.676470588235294,4.382352941176471,13.529411764705882,18.470588235294116
7,1,62.645161290322584,22.451612903225808,53.83870967741935,5.032258064516129,16.677419354838708,12.709677419354838,19.612903225806452,9.32258064516129,31.774193548387096,12.451612903225806,6.419354838709677,4.806451612903226,13.483870967741936,18.387096774193548,60.9375,21.625,54.71875,6.3125,20.21875,11.375,16.5625,9.28125,30.1875,10.90625,6.21875,3.6875,9.9375,17.25
8,0,62.645161290322584,22.451612903225808,53.83870967741935,5.032258064516129,16.677419354838708,12.709677419354838,19.612903225806452,9.32258064516129,31.774193548387096,12.451612903225806,6.419354838709677,4.806451612903226,13.483870967741936,18.387096774193548,72.03030303030303,25.87878787878788,56.96969696969697,7.0606060606060606,19.78787878787879,13.212121212121213,18.606060606060606,9.848484848484848,33.878787878787875,13.363636363636363,6.0,3.515151515151515,11.848484848484848,13.787878787878787
9,0,62.645161290322584,22.451612903225808,53.83870967741935,5.032258064516129,16.677419354838708,12.709677419354838,19.612903225806452,9.32258064516129,31.774193548387096,12.451612903225806,6.419354838709677,4.806451612903226,13.483870967741936,18.387096774193548,64.6969696969697,23.575757575757574,52.18181818181818,4.121212121212121,14.242424242424242,13.424242424242424,18.87878787878788,9.121212121212121,32.303030303030305,12.181818181818182,7.242424242424242,4.151515151515151,12.575757575757576,18.363636363636363
10,1,62.645161290322584,22.451612903225808,53.83870967741935,5.032258064516129,16.677419354838708,12.709677419354838,19.612903225806452,9.32258064516129,31.774193548387096,12.451612903225806,6.419354838709677,4.806451612903226,13.483870967741936,18.387096774193548,66.91176470588235,24.11764705882353,55.76470588235294,4.382352941176471,13.852941176470589,14.294117647058824,23.705882352941178,11.235294117647058,35.0,11.176470588235293,6.617647058823529,5.235294117647059,14.117647058823529,18.0
