,Conference,Location,Points,FG made,FG attempts,3P made,3P attempts,FT made,FT attempts,Off Reb,Team Reb,Assists,Steals,Blocks,turnovers,Pers Fouls,Opponent Conf,Points opp,FG made opp,FG attempts opp,3P made opp,3P attempts opp,FT made opp,FT attempts opp,Off Reb opp,Team Reb opp,Assists opp,Steals opp,Blocks opp,turnovers opp,Pers Fouls opp
6069,BigTwelve,,89,25,46,11,17,28,32,6,28,17,5,7,22,28,BigTwelve,81,22,57,4,18,33,41,8,19,5,9,3,11,26
6070,BigTwelve,,69,24,46,10,18,11,17,4,30,13,8,3,13,11,BigTwelve,61,25,56,6,24,5,6,5,24,8,7,1,10,17
6071,BigTwelve,@,62,21,45,3,12,17,22,1,28,7,7,9,13,12,BigTwelve,57,22,62,6,23,7,8,10,34,7,4,7,13,20
6072,BigTwelve,@,51,21,63,5,15,4,5,8,26,9,10,2,12,18,BigTwelve,65,27,58,5,23,6,10,6,35,9,8,10,15,14
6073,BigTwelve,,58,20,51,7,21,11,13,5,22,10,3,2,9,13,BigTwelve,68,24,46,10,22,10,14,4,27,7,5,1,13,16
6074,BigTwelve,,97,36,70,6,14,19,32,22,50,16,12,0,8,16,BigTwelve,59,19,53,9,29,12,16,4,19,9,4,3,18,25
6075,BigTwelve,@,59,24,76,6,15,5,8,18,35,8,11,1,10,18,BigTwelve,69,22,49,7,15,18,21,8,37,11,4,5,17,13
6076,BigTwelve,@,57,22,50,3,11,10,21,10,27,11,4,1,15,21,BigTwelve,67,22,42,9,22,14,20,6,28,9,4,4,17,22
6077,BigTwelve,,62,24,70,4,25,10,19,19,41,10,4,2,7,15,BigTwelve,73,26,53,8,21,13,16,6,38,15,5,4,11,18
6078,BigTwelve,N,62,26,62,6,24,4,7,7,30,17,3,3,4,19,PacTwelve,45,16,45,1,8,12,20,4,29,8,2,2,12,13
6079,BigTwelve,,62,24,64,8,29,6,7,9,37,10,5,2,12,19,BigTwelve,72,28,56,6,15,10,18,3,30,8,7,2,10,8
6080,BigTwelve,@,52,21,63,8,28,2,2,8,38,6,5,3,13,21,BigTwelve,51,14,50,2,20,21,29,5,35,5,8,7,10,10
6081,BigTwelve,N,77,27,63,11,22,12,14,9,38,13,4,4,8,14,PacTwelve,69,27,66,8,20,7,10,8,31,16,4,6,8,15
6082,BigTwelve,N,54,23,61,4,17,4,13,5,27,8,5,6,15,13,PacTwelve,73,25,65,10,25,13,19,12,48,12,10,4,12,15
6083,ACC,,75,24,63,15,39,12,17,7,38,15,3,5,6,14,PacTwelve,61,22,63,7,16,10,20,14,45,9,4,4,9,18
6084,PacTwelve,,75,30,63,4,15,11,22,10,47,17,6,6,12,18,PacTwelve,47,18,59,3,21,8,19,6,30,2,4,5,14,22
6085,PacTwelve,@,73,28,62,8,20,9,14,7,34,11,4,2,11,16,PacTwelve,74,26,65,7,23,15,17,12,37,13,8,6,10,17
6086,PacTwelve,@,65,21,53,5,17,18,23,7,21,16,3,2,9,15,PacTwelve,82,27,50,8,18,20,22,6,28,21,7,5,10,17
6087,PacTwelve,,93,33,69,15,29,12,14,11,36,23,8,5,10,18,PacTwelve,77,25,57,10,28,17,22,7,29,11,2,2,12,16
6088,PacTwelve,,75,28,59,9,22,10,13,11,35,13,3,2,11,15,PacTwelve,54,18,49,7,23,11,17,4,18,9,5,1,9,14
6089,PacTwelve,@,65,23,57,6,20,13,18,7,37,11,7,5,18,13,PacTwelve,66,28,72,6,29,4,9,11,33,13,8,5,12,15
6090,PacTwelve,@,75,24,62,10,26,17,23,10,33,17,8,1,10,14,PacTwelve,72,25,59,14,28,8,11,5,33,13,4,4,16,18
6091,PacTwelve,@,66,27,68,4,18,8,14,12,43,9,8,4,6,16,PacTwelve,49,20,54,3,18,6,13,4,35,8,1,3,9,16
