,Conference,Location,Points,FG made,FG attempts,3P made,3P attempts,FT made,FT attempts,Off Reb,Team Reb,Assists,Steals,Blocks,turnovers,Pers Fouls,Opponent Conf,Points opp,FG made opp,FG attempts opp,3P made opp,3P attempts opp,FT made opp,FT attempts opp,Off Reb opp,Team Reb opp,Assists opp,Steals opp,Blocks opp,turnovers opp,Pers Fouls opp
38,SEC,N,102,26,51,7,15,16,29,8,34,14,5,13,19,20,BigTen,90,20,59,4,15,21,27,10,33,9,10,5,14,25
39,SEC,N,82,26,51,7,15,16,29,8,34,14,5,13,19,20,BigTwelve,70,20,59,4,15,21,27,10,33,9,10,5,14,25
40,SEC,N,69,26,51,7,15,16,29,8,34,14,5,13,19,20,ACC,61,20,59,4,15,21,27,10,33,9,10,5,14,25
41,SEC,N,67,26,51,7,15,16,29,8,34,14,5,13,19,20,BigTwelve,59,20,59,4,15,21,27,10,33,9,10,5,14,25
42,SEC,N,67,24,58,0,8,19,24,10,34,9,7,3,12,24,ACC,77,26,54,7,18,18,27,8,33,11,5,2,13,18
43,SEC,,67,24,58,0,8,19,24,10,34,9,7,3,12,24,SEC,56,26,54,7,18,18,27,8,33,11,5,2,13,18
44,SEC,@,58,24,58,0,8,19,24,10,34,9,7,3,12,24,SEC,62,26,54,7,18,18,27,8,33,11,5,2,13,18
45,SEC,@,53,24,58,0,8,19,24,10,34,9,7,3,12,24,SEC,57,26,54,7,18,18,27,8,33,11,5,2,13,18
46,SEC,@,47,24,58,0,8,19,24,10,34,9,7,3,12,24,SEC,65,26,54,7,18,18,27,8,33,11,5,2,13,18
47,SEC,,73,24,58,0,8,19,24,10,34,9,7,3,12,24,SEC,62,26,54,7,18,18,27,8,33,11,5,2,13,18
48,SEC,,69,24,58,0,8,19,24,10,34,9,7,3,12,24,SEC,57,26,54,7,18,18,27,8,33,11,5,2,13,18
49,SEC,@,75,24,58,0,8,19,24,10,34,9,7,3,12,24,SEC,70,26,54,7,18,18,27,8,33,11,5,2,13,18
50,SEC,@,50,24,58,0,8,19,24,10,34,9,7,3,12,24,SEC,62,26,54,7,18,18,27,8,33,11,5,2,13,18
51,SEC,,73,24,58,0,8,19,24,10,34,9,7,3,12,24,SEC,60,26,54,7,18,18,27,8,33,11,5,2,13,18
52,SEC,@,73,24,58,0,8,19,24,10,34,9,7,3,12,24,SEC,64,26,54,7,18,18,27,8,33,11,5,2,13,18
53,SEC,@,74,24,58,0,8,19,24,10,34,9,7,3,12,24,SEC,69,26,54,7,18,18,27,8,33,11,5,2,13,18
54,SEC,,68,24,58,0,8,19,24,10,34,9,7,3,12,24,SEC,61,26,54,7,18,18,27,8,33,11,5,2,13,18
55,SEC,N,72,24,58,0,8,19,24,10,34,9,7,3,12,24,SEC,77,26,54,7,18,18,27,8,33,11,5,2,13,18
56,SEC,N,82,27,55,6,21,22,26,10,31,13,9,2,19,24,BigTen,88,26,59,12,31,24,28,10,25,15,10,5,12,21
57,SEC,N,59,27,55,6,21,22,26,10,31,13,9,2,19,24,ACC,50,26,59,12,31,24,28,10,25,15,10,5,12,21
58,SEC,@,55,27,55,6,21,22,26,10,31,13,9,2,19,24,BigTen,50,26,59,12,31,24,28,10,25,15,10,5,12,21
59,SEC,,52,27,55,6,21,22,26,10,31,13,9,2,19,24,ACC,57,26,59,12,31,24,28,10,25,15,10,5,12,21
60,SEC,,81,27,55,6,21,22,26,10,31,13,9,2,19,24,SEC,55,26,59,12,31,24,28,10,25,15,10,5,12,21
61,SEC,@,53,27,55,6,21,22,26,10,31,13,9,2,19,24,SEC,69,26,59,12,31,24,28,10,25,15,10,5,12,21
62,SEC,@,64,27,55,6,21,22,26,10,31,13,9,2,19,24,SEC,76,26,59,12,31,24,28,10,25,15,10,5,12,21
63,SEC,@,71,27,55,6,21,22,26,10,31,13,9,2,19,24,SEC,76,26,59,12,31,24,28,10,25,15,10,5,12,21
64,SEC,@,61,27,55,6,21,22,26,10,31,13,9,2,19,24,SEC,76,26,59,12,31,24,28,10,25,15,10,5,12,21
65,SEC,,67,27,55,6,21,22,26,10,31,13,9,2,19,24,SEC,58,26,59,12,31,24,28,10,25,15,10,5,12,21
66,SEC,,69,27,55,6,21,22,26,10,31,13,9,2,19,24,SEC,67,26,59,12,31,24,28,10,25,15,10,5,12,21
67,SEC,@,68,27,55,6,21,22,26,10,31,13,9,2,19,24,SEC,58,26,59,12,31,24,28,10,25,15,10,5,12,21
68,SEC,,61,27,55,6,21,22,26,10,31,13,9,2,19,24,SEC,53,26,59,12,31,24,28,10,25,15,10,5,12,21
69,SEC,@,48,27,55,6,21,22,26,10,31,13,9,2,19,24,SEC,72,26,59,12,31,24,28,10,25,15,10,5,12,21
70,SEC,@,76,27,55,6,21,22,26,10,31,13,9,2,19,24,PacTwelve,96,26,59,12,31,24,28,10,25,15,10,5,12,21
71,SEC,N,60,22,54,6,15,10,14,7,30,9,7,0,16,23,SEC,69,22,54,6,13,19,31,11,36,9,12,2,12,16
72,SEC,N,64,22,54,6,15,10,14,7,30,9,7,0,16,23,SEC,84,22,54,6,13,19,31,11,36,9,12,2,12,16
73,SEC,@,52,22,54,6,15,10,14,7,30,9,7,0,16,23,BigTwelve,61,22,54,6,13,19,31,11,36,9,12,2,12,16
74,SEC,,50,22,54,6,15,10,14,7,30,9,7,0,16,23,BigTwelve,74,22,54,6,13,19,31,11,36,9,12,2,12,16
75,SEC,@,51,22,54,6,15,10,14,7,30,9,7,0,16,23,BigTwelve,61,22,54,6,13,19,31,11,36,9,12,2,12,16
76,SEC,,67,22,54,6,15,10,14,7,30,9,7,0,16,23,BigTwelve,54,22,54,6,13,19,31,11,36,9,12,2,12,16
77,SEC,@,51,22,54,6,15,10,14,7,30,9,7,0,16,23,SEC,70,22,54,6,13,19,31,11,36,9,12,2,12,16
78,SEC,,81,22,54,6,15,10,14,7,30,9,7,0,16,23,BigTwelve,75,22,54,6,13,19,31,11,36,9,12,2,12,16
79,SEC,@,54,22,54,6,15,10,14,7,30,9,7,0,16,23,BigTwelve,64,22,54,6,13,19,31,11,36,9,12,2,12,16
80,SEC,,76,22,54,6,15,10,14,7,30,9,7,0,16,23,BigTwelve,61,22,54,6,13,19,31,11,36,9,12,2,12,16
81,SEC,,60,22,54,6,15,10,14,7,30,9,7,0,16,23,BigTwelve,63,22,54,6,13,19,31,11,36,9,12,2,12,16
82,SEC,@,53,22,54,6,15,10,14,7,30,9,7,0,16,23,BigTwelve,64,22,54,6,13,19,31,11,36,9,12,2,12,16
83,SEC,,68,22,54,6,15,10,14,7,30,9,7,0,16,23,BigTwelve,70,22,54,6,13,19,31,11,36,9,12,2,12,16
84,SEC,@,46,22,54,6,15,10,14,7,30,9,7,0,16,23,BigTwelve,69,22,54,6,13,19,31,11,36,9,12,2,12,16
85,SEC,@,47,22,54,6,15,10,14,7,30,9,7,0,16,23,BigTwelve,38,22,54,6,13,19,31,11,36,9,12,2,12,16
86,SEC,,62,22,54,6,15,10,14,7,30,9,7,0,16,23,SEC,71,22,54,6,13,19,31,11,36,9,12,2,12,16
87,SEC,,58,22,54,6,15,10,14,7,30,9,7,0,16,23,BigTwelve,66,22,54,6,13,19,31,11,36,9,12,2,12,16
88,SEC,@,42,22,54,6,15,10,14,7,30,9,7,0,16,23,BigTwelve,60,22,54,6,13,19,31,11,36,9,12,2,12,16
89,SEC,,70,22,54,6,15,10,14,7,30,9,7,0,16,23,BigTwelve,76,22,54,6,13,19,31,11,36,9,12,2,12,16
90,SEC,@,62,22,54,6,15,10,14,7,30,9,7,0,16,23,BigTwelve,65,22,54,6,13,19,31,11,36,9,12,2,12,16
91,SEC,N,62,22,54,6,15,10,14,7,30,9,7,0,16,23,BigTwelve,53,22,54,6,13,19,31,11,36,9,12,2,12,16
92,SEC,N,66,22,54,6,15,10,14,7,30,9,7,0,16,23,BigTwelve,83,22,54,6,13,19,31,11,36,9,12,2,12,16
93,SEC,N,62,24,56,7,16,7,14,13,44,12,3,4,14,20,BigTen,42,13,49,2,12,14,25,9,28,8,3,5,9,19
94,SEC,N,65,24,56,7,16,7,14,13,44,12,3,4,14,20,BigTen,56,13,49,2,12,14,25,9,28,8,3,5,9,19
95,SEC,N,58,24,56,7,16,7,14,13,44,12,3,4,14,20,BigTwelve,71,13,49,2,12,14,25,9,28,8,3,5,9,19
96,SEC,N,69,24,56,7,16,7,14,13,44,12,3,4,14,20,BigTwelve,52,13,49,2,12,14,25,9,28,8,3,5,9,19
97,SEC,@,73,24,56,7,16,7,14,13,44,12,3,4,14,20,ACC,48,13,49,2,12,14,25,9,28,8,3,5,9,19
98,SEC,@,74,24,56,7,16,7,14,13,44,12,3,4,14,20,SEC,59,13,49,2,12,14,25,9,28,8,3,5,9,19
99,SEC,@,52,24,56,7,16,7,14,13,44,12,3,4,14,20,SEC,56,13,49,2,12,14,25,9,28,8,3,5,9,19
100,SEC,,59,24,56,7,16,7,14,13,44,12,3,4,14,20,SEC,69,13,49,2,12,14,25,9,28,8,3,5,9,19
101,SEC,@,54,24,56,7,16,7,14,13,44,12,3,4,14,20,SEC,56,13,49,2,12,14,25,9,28,8,3,5,9,19
102,SEC,,69,24,56,7,16,7,14,13,44,12,3,4,14,20,SEC,67,13,49,2,12,14,25,9,28,8,3,5,9,19
103,SEC,,52,24,56,7,16,7,14,13,44,12,3,4,14,20,SEC,61,13,49,2,12,14,25,9,28,8,3,5,9,19
